0,"Total Unemployment Rate, (SA)","Resident Unemployment Rate, (SA)","Citizen Unemployment Rate, (SA)",Household Net Worth,    Assets,        Financial Assets,            Currency & Deposits,            Shares & Securities,                Listed Shares,                Unlisted Shares,                Unit Trusts & Investment Funds,            Life Insurance,            Central Provident Fund (CPF),            Pension Funds,        Residential Property Assets,            Public Housing,            Private Housing,    Liabilities,        Mortgage Loans,            Financial Institutions,            Housing & Development Board (HDB),        Personal Loans,            Motor Vehicle,            Credit/Charge Cards,            Others,0,GDP In Chained (2015) Dollars,    Goods Producing Industries,        Manufacturing,        Construction,        Utilities,        Other Goods Industries,    Services Producing Industries,        Wholesale & Retail Trade,            Wholesale Trade,            Retail Trade,        Transportation & Storage,        Accommodation & Food Services,            Accommodation,            Food & Beverage Services,        Information & Communications,        Finance & Insurance,"        Real Estate, Professional Services And Administrative & Support Services",            Real Estate,            Professional Services,            Administrative & Support Services,        Other Services Industries,            Public Administration & Defence,            Education,            Health & Social Services,"            Arts, Entertainment & Recreation",            Other Services - Others,    Ownership Of Dwellings,    Gross Value Added At Basic Prices,    Add: Taxes On Products
20222Q,2.1,2.8,3,2487094.1,2848876,1624198.9,566634.7,262912.2,99108.9,33708.5,130094.8,247589,530340.5,16722.5,1224677.1,544123.3,680553.8,361781.9,259360.8,221711.9,37648.9,102421.2,10063.2,11611.1,80746.9,0,131362.3,35772.3,29627.5,4241.6,1534.5,37.2,83779.3,19209.6,17373.1,1758,8063.9,1765.6,694.5,1030.7,7740,17963,16431.9,5169.8,7288.7,4130.1,12373.8,3067,3430.4,3416.2,990.6,1435.3,5516.7,124714.1,6431.2
20221Q,2.3,3,3.2,2454819.4,2813474.3,1629850,562648,272949.4,104050.6,34176.8,134722.1,258308.6,519172.7,16771.2,1183624.3,526145.1,657479.2,358655,256871.8,218956.9,37914.9,101783.2,10216,10803.1,80764.1,0,130095.6,35099,28866.9,4372.3,1498,37.3,83242.8,19817.2,17950,1772.5,7963.6,1603.3,600.9,956.1,7293,17867.2,15683.6,5091,6899.1,3874.6,12473.8,3244.3,3529.3,3283.8,952.2,1412.1,5413.9,123458.3,6425.7
20214Q,2.4,3.1,3.3,2411487.9,2769010.2,1604689.8,543427.2,271977.8,99672.9,33480.8,138824.2,266826.4,505718.8,16739.6,1164320.3,516878.3,647442,357522.2,254718.8,216353.1,38365.7,102803.5,10323.6,11205.5,81274.4,0,131542.9,35387.5,29284.8,4219.4,1515.4,43.6,83354.4,19523.1,17600.9,1851.2,7834.3,1720,738.3,962.3,7626.2,18049.2,16058.8,4964.9,7462.1,3768.8,12150.9,3065.7,3486.6,3277.2,920.3,1354.8,5507.1,123895.3,7521.2
20213Q,2.6,3.4,3.6,2348497.1,2700535.6,1583322.5,535065.8,269480.7,97078.1,33039.6,139363,266483.2,495629.5,16663.3,1117213.2,501181.2,616032,352038.5,251434.7,212729.4,38705.3,100603.8,10423.1,10450,79730.8,0,126391.3,34218,28359.8,3985.3,1512.9,42.4,80280.5,18561.4,16841.4,1618.8,7748.2,1584.7,734.1,849.8,7400.5,17618.1,15163.3,4725.5,6607.7,3964.3,11859.5,3010.9,3484.7,3297.7,693.2,1318.4,5494.7,119604.8,6567.2
20212Q,2.7,3.6,3.8,2308910.2,2652921.4,1559956.4,528895.6,265522,98413.3,31608.8,135499.8,263750.6,485201.2,16587,1092965.1,487378.2,605586.9,344011.3,247445.8,208610.4,38835.4,96565.5,10486.3,10062.7,76016.5,0,125213.9,33571.7,27833.5,3878.2,1505.7,40.9,79725.4,18761.4,17116.2,1513.8,7729.1,1510.3,699.7,809.8,7090.4,17699,14716.5,4528.4,6507.4,3802.7,11781,3065.7,3379.6,3219.4,750.9,1312.5,5503.9,118445.3,6559.3
20211Q,2.9,4,4.2,2251063.1,2588875,1516944.5,524713.7,250921,96306.3,30878.1,123736.6,250780.7,473973.8,16555.4,1071930.4,470596.7,601333.7,337811.9,243608.1,205689.1,37919,94203.8,10515.8,10409.5,73278.5,0,124680.5,32829.1,27217,3811.7,1456.4,39.3,79466.8,18917,17142.4,1678.3,7669.3,1643.1,659.3,950.7,6829.1,17445.4,14220.9,4454.5,6206.2,3689.3,12255.5,3226.2,3458.8,3202.2,939.5,1379,5403.8,117419.8,7142.8
20204Q,3.2,4.3,4.4,2176938.1,2509941.9,1483708.1,517148.8,237750,90237.7,27736.9,119775.4,250075.9,462130.6,16602.8,1026233.8,451533.2,574700.6,333003.9,241726.2,203183.1,38543.1,91277.7,10479.9,10918.1,69879.7,0,121940.2,30250.7,25237.8,3260.8,1475.8,42.1,78708.3,18521,16692.9,1759.7,7131.6,1758.8,808.1,952.4,6813.3,17045.5,15172.9,4363.2,6869.5,3991.7,11885.4,3044.8,3404.7,3158.3,926.8,1306,5434.8,114269.7,7705
20203Q,3.4,4.6,4.7,2104813.9,2434122.4,1433481.2,508124.2,219142.6,81567.8,27377.9,110196.9,236449.3,453047.7,16717.4,1000641.2,434417.6,566223.6,329308.5,240151.9,200977,39174.9,89156.6,10453.2,10426.2,68277.2,0,115450.2,30264.8,26274,2116.2,1443.4,38.9,73447.4,16749.3,15110.7,1572.5,6828.2,1755.4,873.4,885.2,6408.2,16130.9,13897.8,3454.5,6290.9,4164.5,11434.1,2921.2,3313,3059.6,802.1,1291.6,5455,108913.3,6404.1
20202Q,3,4.1,4.2,2059331.3,2386825.4,1405335.7,506564.5,208221.3,82003.2,27363.4,98854.7,228903.7,444814.2,16832,981489.7,424805,556684.7,327494.1,241260.1,201464.5,39795.6,86234,10471.2,10008.9,65754,0,105851.5,26873.5,23547.7,1514.9,1390.8,30.6,69478.2,16836.3,15659.7,972.3,5979.2,1346.4,737.7,612.6,5939.5,15850,12877.6,3096.4,5719.9,4063.7,10135.2,2918.6,3181.8,2712.9,89.2,1137.2,5479.8,101574.4,3763.7
20201Q,2.5,3.4,3.6,1987492.1,2320300.3,1341716.9,493950.9,184301.9,73530.5,26698.8,84072.6,211231.6,435353.2,16879.4,978583.4,424221.2,554362.2,332808.2,242474,202280.3,40193.7,90334.2,11104.4,11221.9,68007.9,0,119443.4,30374,24403.5,4372.6,1473.3,37.8,76683.1,16786.7,15093.8,1641.5,7934.7,1742.4,674.8,1066.6,5980.6,16334.8,15612.2,4062.9,6676.2,4891.4,12303.9,3101.7,3403.5,2929.7,1308.3,1540,5508.2,112374.2,7001.8
